Date,Open,High,Low,Close,Adj_Close,Volume,Percent_Change,Adj_Percent_Change,Intraday_Range_%,Gap_%,Year,Month,Quarter,Month_Name
2017-10-01,100.99800109863281,107.5,100.99800109863281,106.51699829101562,106.51699829101562,8263250,5.4644618035490256,5.4644618035490256,6.104189008033294,0.0,2017,10,4,October
2017-11-01,107.0,108.0999984741211,104.29000091552734,105.74600219726562,105.74600219726562,3899070,-0.7238244656909698,-0.7238244656909698,3.602970778494611,0.45345035697003366,2017,11,4,November
2017-12-01,106.6989974975586,108.9000015258789,103.69999694824219,108.447998046875,108.447998046875,7244040,2.555175414167321,2.555175414167321,4.794929063963998,0.9012116585884618,2017,12,4,December
2018-01-01,108.4990005493164,115.0,106.0999984741211,113.54399871826172,113.54399871826172,22963170,4.6990269651488115,4.6990269651488115,7.838372460320516,0.04702945500142953,2018,1,1,January
2018-02-01,113.5,114.7300033569336,100.5250015258789,108.66999816894531,108.66999816894531,11972820,-4.292609564870387,-4.292609564870387,13.071686822862263,-0.03875036880715587,2018,2,1,February
2018-03-01,108.5,109.9990005493164,102.19999694824219,104.92500305175781,104.92500305175781,12235770,-3.446208871159906,-3.446208871159906,7.432931497964404,-0.15643523678082932,2018,3,1,March
2018-04-01,105.0,111.5,104.76000213623047,111.16799926757812,111.16799926757812,16365300,5.949960480573679,5.949960480573679,6.0628939156731185,0.07147671771350124,2018,4,2,April
2018-05-01,111.16799926757812,113.0,107.69999694824219,111.25,111.25,5260360,0.0737628930646661,0.0737628930646661,4.764047686973314,0.0,2018,5,2,May
2018-06-01,108.19999694824219,113.0,91.08999633789062,111.18800354003906,111.18800354003906,3064910,-0.055727155021068064,-0.055727155021068064,19.70536655442287,-2.741575776860955,2018,6,2,June
2018-07-01,112.5,118.4739990234375,110.5,118.25,118.25,3913530,6.351401441809235,6.351401441809235,6.743339554704017,1.1799802300510636,2018,7,3,July
2018-08-01,118.25,124.98999786376953,117.0,121.9000015258789,121.9000015258789,3902630,3.086682051483214,3.086682051483214,6.554551077731762,0.0,2018,8,3,August
2018-09-01,122.5,124.9990005493164,113.26799774169922,114.13999938964844,114.13999938964844,4506390,-6.36587533970051,-6.36587533970051,10.277731619368744,0.49220546891766553,2018,9,3,September
2018-10-01,114.0999984741211,115.30899810791016,99.01000213623047,108.47599792480469,108.47599792480469,12986780,-4.962328276792882,-4.962328276792882,15.025439989939631,-0.03504548426602805,2018,10,4,October
2018-11-01,108.625,114.58999633789062,108.10199737548828,113.50800323486328,113.50800323486328,7669720,4.638819099453473,4.638819099453473,5.7158955998704375,0.1373594878551847,2018,11,4,November
2018-12-01,113.80000305175781,118.80000305175781,104.69999694824219,113.67500305175781,113.67500305175781,11959390,0.14712602824047405,0.14712602824047405,12.403787750149164,0.25725042162035433,2018,12,4,December
2019-01-01,113.67500305175781,114.68900299072266,110.8550033569336,113.46900177001953,113.46900177001953,10242270,-0.18121950843008605,-0.18121950843008605,3.3788960632260285,0.0,2019,1,1,January
2019-02-01,110.95500183105469,116.29900360107422,110.26499938964844,113.36000061035156,113.36000061035156,20177500,-0.09606249986132687,-0.09606249986132687,5.322868894616768,-2.215583022454231,2019,2,1,February
2019-03-01,113.36000061035156,125.5,112.19999694824219,122.06099700927734,122.06099700927734,13421180,7.6755437121365455,7.6755437121365455,10.89619401580583,0.0,2019,3,1,March
2019-04-01,122.4000015258789,126.5,120.0009994506836,123.40699768066406,123.40699768066406,7411470,1.1027279019230063,1.1027279019230063,5.266314448499624,0.2777336945525656,2019,4,2,April
2019-05-01,123.40699768066406,126.4800033569336,116.69999694824219,125.2490005493164,125.2490005493164,18788390,1.4926243270408701,1.4926243270408701,7.808450658926064,0.0,2019,5,2,May
2019-06-01,126.0,127.9000015258789,122.5,124.29199981689453,124.29199981689453,9615370,-0.7640785381317738,-0.7640785381317738,4.34460909296988,0.5996051444641189,2019,6,2,June
2019-07-01,124.9990005493164,126.7699966430664,114.41000366210938,117.5770034790039,117.5770034790039,9810070,-5.4025973898425335,-5.4025973898425335,10.512253770070092,0.5688223968263605,2019,7,3,July
2019-08-01,117.5,118.3489990234375,112.80000305175781,116.61399841308594,116.61399841308594,13364800,-0.8190420213336491,-0.8190420213336491,4.758430417610141,-0.06549195567622797,2019,8,3,August
2019-09-01,116.61399841308594,124.19999694824219,113.11100006103516,121.56700134277344,121.56700134277344,24147280,4.247348514834637,4.247348514834637,9.121716226215213,0.0,2019,9,3,September
